ID,NAME,LAT,LON,FEDERAL_STATE,ADRESS,LINK,FREE/NOT FREE,LOCATION TYPE,INDOOR/OUTDOOR,ALL AUSTRIAN GROUPEMATCHES
1,Addicted to Rock Bar & Burger,48.2020,16.3626,WIEN,"Getreidemarkt 11, 1060 Wien",https://www.addictedtoburger.at,FREE,BAR,INDOOR,NO
2,Annenhof Kino Graz,47.07101917,15.42684145,STEIERMARK,"Annenstraße 29, 8020 Graz",https://cineplexx.at/events/fussball,NOT FREE,EVENT VENUE,INDOOR,NO
3,Autohaus Pichler,48.28047374,14.36672985,OBEROESTERREICH,"Im Freizeitpark 2, 4221 Steyregg",,FREE,OTHER,OUTDOOR,NO
4,Azzurra Pizzeria,47.42625441,9.658087742,VORARLBERG,"Kaiser-Franz-Josef-Straße 2, 6890 Lustenau",,NOT FREE,RESTAURANT,,NO
5,Beim Keissler,48.1984,16.2615,WIEN,"Keißlergasse 18/1, 1140 Wien",https://bierkeissler.at/,FREE,BAR,OUTDOOR,NO
6,Bella Compagnia Erdbergstraße,48.2027,16.3952,WIEN,"Erdbergstraße 21, 1030 Wien",https://bestellen-bellacompagnia.at,NOT FREE,RESTAURANT,INDOOR,NO
7,Benediktinerplatz Klagenfurt,46.6229,14.3057,KÄRNTEN,"Benediktinerpl. 1, 9020 Klagenfurt am Wörthersee",,FREE,PUBLIC SPACE,OUTDOOR,NO
8,Brot & Spiele,47.0733,15.4331,STEIERMARK,"Mariahilferstraße 17, 8020 Graz",https://www.steiermark.com/de/Region-Graz/Urlaub-planen/Veranstaltungen/Public-Viewing-Fussball-WM_ed_87762356#event-detail-calendar-dates,FREE,BAR,INDOOR,YES
9,Burg Spielberg,47.20071971,14.77845759,STEIERMARK,"Burgstraße 1, 8724 Spielberg",,FREE,OTHER,INDOOR,NO
10,Cafe Drechsler,48.1988,16.3624,WIEN,"Linke Wienzeile 22, 1060 Wien",http://www.drechsler-wien.at/,FREE,RESTAURANT,INDOOR,NO
11,Cafe Dreier,48.1967,16.3925,WIEN,"Juchgasse 23, 1030 Wien",https://www.dreiergasthaus.at,NOT FREE,RESTAURANT,INDOOR,NO
12,Cafe Francais,48.2160,16.3609,WIEN,"Währinger Str. 6-8, 1090 Wien",http://www.cafefrancais.at/,NOT FREE,RESTAURANT,INDOOR,NO
13,Cafe Konstantin ,48.2095,16.4064,WIEN,"Rotundenallee 15, 1020 Wien",https://www.cafekonstantin.at,NOT FREE,RESTAURANT,OUTDOOR,YES
14,Cafe Leitner,48.2093,16.3155,WIEN,"Koppstraße 95A, 1160 Wien",http://www.cooks-catering.at/,FREE,BAR,OUTDOOR,NO
15,Cafe Lounge Theatro,48.2005,16.3362,WIEN,"Märzstraße 3, 1150 Wien",,FREE,BAR,INDOOR,NO
16,Cafe Sperl,48.2000,16.3611,WIEN,"Gumpendorfer Str. 11, 1060 Wien",https://www.cafesperl.at/,FREE,RESTAURANT,INDOOR,NO
17,Cafe Votiv,48.2141,16.3590,WIEN,"Reichsratsstraße 17, 1010 Wien",https://cafe-votiv.at,NOT FREE,RESTAURANT,INDOOR,NO
18,Campingplatz Alpenfreude,46.60667594,13.59042027,KÄRNTEN,"Wertschach 27, 9612 St.Georgen",,FREE,EVENT VENUE,OUTDOOR,NO
19,Casino Baden,48.01048314,16.23196223,NIEDEROESTERREICH,"Kaiser-Franz-Ring 1, 2500 Baden",,NOT FREE,EVENT VENUE,INDOOR,NO
20,Casino Bregenz,47.50409893,9.738861455,VORARLBERG,"Platz der Wiener Symphoniker 3, 6900 Bregenz",,FREE,EVENT VENUE,,NO
21,Casino Graz,47.06933335,15.43745937,STEIERMARK,"Landhausgasse 10, 8010 Graz",,NOT FREE,EVENT VENUE,INDOOR,NO
22,Casino Innsbruck,47.26230605,11.39638713,TIROL,"Salurner Straße 15, 6020 Innsbruck",,FREE,EVENT VENUE,INDOOR,NO
23,Casino Kitzbühel,47.4459,12.3905963,TIROL,"Hinterstadt 24, 6370 Kitzbühel",,FREE,EVENT VENUE,INDOOR,NO
24,Casino Kleinwalsertal,47.35869832,10.18991884,VORARLBERG,"Walserstraße 31, 6991 Riezlern",,NOT FREE,EVENT VENUE,,NO
25,Casino Linz,48.29860829,14.29046382,OBEROESTERREICH,"Rainerstraße 2-4, 4020 Linz",,NOT FREE,EVENT VENUE,INDOOR,NO
26,Casino Salzburg,47.81970084,12.99197215,SALZBURG,"Schloss Klessheim, 5071 Wals-Siezenheim",,NOT FREE,EVENT VENUE,INDOOR,NO
27,Casino Seefeld,47.32939381,11.1888688,TIROL,"Bahnhofstraße 124, 6100 Seefeld/Tirol",,FREE,EVENT VENUE,INDOOR,NO
28,Casino Velden,46.61497795,14.0435278,KÄRNTEN,"Am Corso 17, 9220 Velden",,NOT FREE,BAR,INDOOR,NO
29,Casino Zell am See,47.3242739,12.80107329,SALZBURG,"Esplanade 4-6, 5700 Zell am See",,NOT FREE,EVENT VENUE,INDOOR,NO
30,Charlie P's,48.2168,16.3597,WIEN,"Währinger Straße 3, 1090 Wien",https://www.charlieps.at/en/,FREE,BAR,INDOOR,NO
31,Citymarketing Seekirchen e.V.,47.90288745,13.14214558,SALZBURG,"Strandbad/ Fussballplatz, 5201 Seekirchen",,FREE,OTHER,INDOOR,NO
32,Cocktailbar Meeru,48.2025,16.3540,WIEN,"Siebensterngasse 15, 1070 Wien",http://www.meeru.at/,FREE,BAR,OUTDOOR,NO
33,Collina am Berg,48.2032,16.3554,WIEN,"Spittelberggasse 12, 1070 Wien",https://www.collina.wien/,FREE,RESTAURANT,OUTDOOR,NO
34,Crossfiled's Australian Pub,48.2044,16.3696,WIEN,"Maysedergasse 5, 1010 Wien",https://www.crossfield.at,NOT FREE,RESTAURANT,OUTDOOR,NO
35,Dachstein West Arena - ASKÖ Gosau,47.58143847,13.53612551,OBEROESTERREICH,"Steinermühlenweg 11, 4824 Gosau",,FREE,EVENT VENUE,OUTDOOR,NO
36,Der Pianokeller Reutte,47.4910,10.71753848,TIROL,"Stadtpark Untermarkt, 6600 Reutte",,NOT FREE,EVENT VENUE,INDOOR,NO
37,dinoilizeko e.U.,48.24334524,14.23499358,OBEROESTERREICH,"Pluskaufstraße 7, 4061 Pasching",,FREE,OTHER,INDOOR,NO
